Id,Label,timeset,count,modularity_class
blxckoutz,blxckoutz,,89331,1
maiconkusterkay,maiconkusterkay,,51565,1
Gaules,Gaules,,475894,1
k1ng,k1ng,,200135,32
Letshe,Letshe,,110633,0
pijack11,pijack11,,45817,1
fer,fer,,76659,1
benjyfishy,benjyfishy,,187617,0
calango,calango,,24864,1
casimito,casimito,,86203,1
SNEUX,SNEUX,,29679,32
StableRonaldo_,StableRonaldo_,,270627,0
boltz,boltz,,51629,1
noahreyli,noahreyli,,57141,0
loud_babi,loud_babi,,85106,1
Tiagovski555YT,Tiagovski555YT,,15510,13
shroud,shroud,,733810,9
ops1x,ops1x,,154180,0
NOBRU,NOBRU,,170982,1
FlowPodcast,FlowPodcast,,132724,1
alanzoka,alanzoka,,294736,1
RocketLeague,RocketLeague,,389701,53
x2Twins,x2Twins,,133267,0
jukes,jukes,,111417,1
bt0tv,bt0tv,,52985,1
loud_bak,loud_bak,,448028,1
EmadGG,EmadGG,,231076,0
TenZ,TenZ,,185444,9
adolfz,adolfz,,43450,1
ZeROBADASS,ZeROBADASS,,17833,1
RiotGamesBrazil,RiotGamesBrazil,,164189,1
DavyJones,DavyJones,,24246,1
Rakin,Rakin,,44135,1
YoDa,YoDa,,282899,1
jean_mago,jean_mago,,125850,1
VALORANT_BR,VALORANT_BR,,50833,1
Marzz_Ow,Marzz_Ow,,35634,0
Baiano,Baiano,,98685,1
MmarianaAlpha,MmarianaAlpha,,29062,1
Castro_1021,Castro_1021,,230590,138
gafallen,gafallen,,64377,1
Fresh,Fresh,,156089,0
loud_coringa,loud_coringa,,348181,1
TheLivia,TheLivia,,49444,1
Bugha,Bugha,,261275,0
Ninja,Ninja,,374235,9
Tfue,Tfue,,330352,0
Cellbit,Cellbit,,102448,1
Clix,Clix,,458863,0
deercheerup,deercheerup,,122887,1
liminhag0d,liminhag0d,,54791,1
pulgaboy,pulgaboy,,28654,1
Mongraal,Mongraal,,212212,0
ESL_CSGO,ESL_CSGO,,687353,13
scoped,scoped,,81154,0
Tixinhadois,Tixinhadois,,31204,1
Jelty,Jelty,,306581,32
loud_thurzin,loud_thurzin,,115288,1
TheGrefg,TheGrefg,,531197,32
mch_AGG,mch_AGG,,29751,1
Renata_Giovanna,Renata_Giovanna,,71049,1
NickEh30,NickEh30,,209994,0
Fortnite,Fortnite,,183897,0
thecaiox,thecaiox,,16629,1
gaulestv,gaulestv,,38797,1
vsmzin,vsmzin,,18311,1
Lagonis,Lagonis,,23267,27
Brasil_Fortnite,Brasil_Fortnite,,9026,1
seeyunxd,seeyunxd,,4324,32
Meikodboy_,Meikodboy_,,2246,2
MrSavage,MrSavage,,54849,0
jovirone,jovirone,,46547,1
ovotz,ovotz,,1276,3
CBLOL,CBLOL,,75103,1
hastad,hastad,,8429,1
xHankyy,xHankyy,,13488,169
maxim,maxim,,46867,169
JulienBam,JulienBam,,31049,169
unsympathisch_tv,unsympathisch_tv,,104235,169
Mois_Kid,Mois_Kid,,85617,169
TheRealKnossi,TheRealKnossi,,84334,169
MontanaBlack88,MontanaBlack88,,573836,169
repazmois,repazmois,,63016,169
NoWay4u_Sir,NoWay4u_Sir,,112477,169
KayzahR,KayzahR,,21464,169
Trymacs,Trymacs,,678572,169
Rumathra,Rumathra,,16097,169
Papaplatte,Papaplatte,,260643,169
